sms_text,category
ЖКХ: списание 2353 руб,Коммуналка
Метро: 939 руб,Транспорт
Квитанция за услуги ЖКХ 4937 руб,Коммуналка
"Кафе РАО «Некрасова, Федотова и Дроздов» 1891 руб",Кафе
Такси CityMobil на 4697 руб,Транспорт
Такси CityMobil на 4564 руб,Транспорт
Кафе РАО «Родионова-Мясников» 2378 руб,Кафе
Аптека Монди СЛПК (Mondi) 3562 руб,Здоровье
МТС: списание 2857 руб,Связь
"Покупка ЗАО «Шилов, Потапов и Зыков» 3040 руб",Продукты
Оплата услуг клиники 455 руб,Здоровье
Оплата коммунальных услуг 3200 руб,Коммуналка
"Оплата ЗАО «Баранова, Харитонов и Титов», сумма 3062 руб",Продукты
Перевод на карту 475 руб,Перевод
ЖКХ: списание 2007 руб,Коммуналка
Аптека АО «Коновалов-Тихонов» 3814 руб,Здоровье
Оплата коммунальных услуг 3010 руб,Коммуналка
Такси Uber на 684 руб,Транспорт
"Перевод от Фрол, сумма 2105 руб",Перевод
Транспорт карта: списание 4662 руб,Транспорт
Такси Uber на 1976 руб,Транспорт
Аптека Балтийская топливная компания 2293 руб,Здоровье
Покупка Российские сети 2677 руб,Продукты
Такси Uber на 3858 руб,Транспорт
Транспорт карта: списание 4698 руб,Транспорт
Получен перевод 3609 руб,Перевод
Получен перевод 1233 руб,Перевод
Получен перевод 998 руб,Перевод
Такси Яндекс на 3558 руб,Транспорт
Перевод на карту 4981 руб,Перевод
Списание в ресторане ИП «Костина Вишнякова» 194 руб,Кафе
Квитанция за услуги ЖКХ 4498 руб,Коммуналка
Оплата услуг клиники 1013 руб,Здоровье
Билайн: списание 126 руб,Связь
Квитанция за услуги ЖКХ 1563 руб,Коммуналка
Перевод на карту 4258 руб,Перевод
Перевод на карту 1423 руб,Перевод
"Перевод от Борислав, сумма 2755 руб",Перевод
Кафе РАО «Красильников-Киселева» 2619 руб,Кафе
Метро: 745 руб,Транспорт
"Оплата ИП «Капустина-Исаев», сумма 4463 руб",Продукты
Аптека Ларионов Лтд 3993 руб,Здоровье
Перевод на карту 3566 руб,Перевод
Такси CityMobil на 1747 руб,Транспорт
Оплата коммунальных услуг 3159 руб,Коммуналка
Списание в ресторане ООО «Зиновьева-Галкин» 2130 руб,Кафе
Метро: 4919 руб,Транспорт
Перевод на карту 158 руб,Перевод
"Оплата ООО «Ильин», сумма 1975 руб",Продукты
"Покупка ИП «Дорофеев, Субботина и Титова» 4311 руб",Продукты
Транспорт карта: списание 1855 руб,Транспорт
Перевод на карту 4820 руб,Перевод
"Кафе НПО «Данилова, Кондратьева и Кузьмин» 1659 руб",Кафе
"Покупка ОАО «Котова, Овчинников и Романова» 3002 руб",Продукты
Оплата в НПО «Ковалева Дьячков» на сумму 543 руб,Кафе
